const_c,conservative,labour,ld,other,spoil,winner,true_winner,match
E14001006,36104,16611,6179,4154,1394,conservative,labour,0
E14001007,32020,18225,10800,3651,1232,conservative,conservative,1
E14001008,34308,25564,14765,4433,1190,conservative,labour,0
E14001009,21515,20973,10452,2850,2061,conservative,conservative,1
E14001010,32499,13686,4456,2762,566,conservative,labour,0
E14001011,23238,23881,2777,4144,628,labour,conservative,0
E14001012,23224,26978,3881,3488,268,labour,labour,1
E14001013,30567,30603,7980,3063,57,labour,labour,1
E14001014,29865,14510,4213,3270,396,conservative,labour,0
E14001015,32427,22601,28168,3395,412,conservative,conservative,1
E14001016,20531,31762,2839,2570,0,labour,labour,1
E14001017,35411,13703,5883,3711,742,conservative,labour,0
E14001018,45540,11336,5128,3123,4789,conservative,conservative,1
E14001019,25548,31976,5438,4128,419,labour,labour,1
E14001020,27622,20896,3314,2645,0,conservative,labour,0
E14001021,30469,41560,6871,4451,0,labour,conservative,0
E14001022,32359,20634,6597,4346,481,conservative,conservative,1
E14001023,36331,15244,9828,3135,5818,conservative,conservative,1
E14001024,34386,13109,6034,3598,692,conservative,labour,0
E14001025,26104,32710,3271,7108,773,labour,conservative,0
E14001026,27072,24931,7352,6080,2874,conservative,conservative,1
E14001027,29769,30343,7995,3630,71,labour,conservative,0
E14001028,21231,25642,6058,5420,963,labour,labour,1
E14001029,22334,24813,3493,3259,232,labour,conservative,0
E14001030,21153,31554,2731,2533,0,labour,conservative,0
E14001031,28086,19422,10003,4596,5231,conservative,conservative,1
E14001032,42897,47907,12562,7283,18,labour,labour,1
E14001033,37618,14659,4371,4663,1419,conservative,labour,0
E14001034,34398,30751,5016,3645,137,conservative,conservative,1
E14001035,29744,20211,7479,3010,3519,conservative,conservative,1
E14001036,31550,22356,15934,3381,272,conservative,labour,0
E14001037,34936,8508,11961,2999,436,conservative,liberal_dem,0
E14001038,26987,26788,7390,6295,2785,conservative,conservative,1
E14001039,37589,14792,6118,3932,772,conservative,labour,0
E14001040,31661,12364,18050,2435,1177,conservative,conservative,1
E14001041,28458,17187,13962,3563,1531,conservative,conservative,1
E14001042,29769,18007,14183,3750,1712,conservative,conservative,1
E14001043,28796,7391,5300,3447,1546,conservative,labour,0
E14001044,27091,9577,4824,2746,484,conservative,labour,0
E14001045,29313,15057,9534,4122,1502,conservative,conservative,1
E14001046,31916,15076,22333,3015,1348,conservative,conservative,1
E14001047,29256,18857,14392,3776,1740,conservative,conservative,1
E14001048,31134,20225,15757,4071,1833,conservative,conservative,1
E14001049,21520,23820,3376,3150,229,labour,conservative,0
E14001050,20487,33974,2587,4064,0,labour,labour,1
E14001051,21560,24064,3865,3207,327,labour,conservative,0
E14001052,25787,29520,4705,3920,391,labour,conservative,0
E14001053,29790,10374,3847,4108,661,conservative,conservative,1
E14001054,35976,15357,6184,3894,843,conservative,labour,0
E14001055,32231,16214,12590,3634,1884,conservative,conservative,1
E14001056,28805,15578,18866,3122,1652,conservative,conservative,1
E14001057,38157,9820,13475,2835,469,conservative,conservative,1
E14001058,29595,20329,7062,3002,3335,conservative,conservative,1
E14001059,31987,25073,4673,6858,0,conservative,labour,0
E14001060,29400,22796,8780,5295,5799,conservative,conservative,1
E14001061,21124,30038,9617,4560,1690,labour,labour,1
E14001062,25389,20858,8487,3052,5350,conservative,conservative,1
W07000041,25645,10815,2762,5563,92,conservative,conservative,1
W07000042,27357,11131,3339,1981,382,conservative,conservative,1
W07000043,29062,19681,4218,2444,0,conservative,labour,0
W07000044,25472,11410,3461,2911,432,conservative,conservative,1
W07000045,29210,13881,2655,5454,133,conservative,labour,0
W07000046,29205,11916,4360,2296,657,conservative,labour,0
W07000047,27438,14054,4173,3330,530,conservative,labour,0
W07000048,29081,10280,4181,2539,1831,conservative,labour,0
W07000049,24091,10876,3052,2747,391,conservative,labour,0
W07000050,28611,19111,5141,3915,676,conservative,labour,0
W07000051,30172,13938,5019,6341,547,conservative,labour,0
W07000052,23910,10449,2905,2662,338,conservative,labour,0
W07000053,29014,12856,3755,3300,461,conservative,labour,0
W07000054,33733,15627,2897,5372,212,conservative,conservative,1
W07000055,26570,17670,5068,2258,0,conservative,labour,0
W07000056,33492,12886,3298,2932,2138,conservative,labour,0
W07000057,20648,10297,3146,2477,385,conservative,other,0
W07000058,21993,8789,2999,2419,326,conservative,conservative,1
W07000059,28699,11455,3873,3156,431,conservative,conservative,1
W07000060,26903,11103,3489,2980,389,conservative,conservative,1
W07000061,20822,5802,2947,10699,0,conservative,other,0
W07000062,26408,10609,2269,1988,817,conservative,conservative,1
W07000063,25529,11107,2956,1747,194,conservative,conservative,1
W07000064,27596,11967,3966,3149,433,conservative,other,0
W07000065,31240,10565,4408,2060,855,conservative,conservative,1
W07000066,29744,12124,4018,3304,454,conservative,conservative,1
W07000067,28492,11475,3873,3152,438,conservative,other,0
W07000068,28936,6307,8157,2037,873,conservative,conservative,1
W07000069,26852,11427,3485,3012,418,conservative,labour,0
W07000070,23450,16742,2392,2018,0,conservative,labour,0
W07000071,25767,11534,3225,2920,396,conservative,labour,0
W07000072,22921,12438,2989,2939,14,conservative,labour,0
W07000073,30981,13887,4404,3591,567,conservative,conservative,1
W07000074,26396,10422,4256,4011,500,conservative,labour,0
W07000075,28688,13416,4061,3352,527,conservative,labour,0
W07000076,30055,13441,3961,3439,510,conservative,labour,0
W07000077,26554,11558,3358,2994,417,conservative,labour,0
W07000078,38463,12040,5571,4937,2136,conservative,conservative,1
W07000079,29026,17362,3914,7004,113,conservative,labour,0
W07000080,36624,19256,4562,6339,903,conservative,labour,0
