const_c,conservative,labour,ld,other,spoil,winner,true_winner,match
E14000639,32594,16529,15180,3335,2324,conservative,conservative,1
E14000640,36510,14873,4893,4684,1960,conservative,labour,0
E14000641,33539,19837,5498,4013,513,conservative,labour,0
E14000642,30647,17090,5583,3738,550,conservative,conservative,1
E14000643,24455,21394,5264,2912,4146,conservative,conservative,1
E14000644,32003,26665,5965,6279,1097,conservative,conservative,1
E14000645,25561,22574,9934,5233,4858,conservative,conservative,1
E14000646,40072,14832,7144,4161,783,conservative,conservative,1
E14000647,29929,10560,4773,3013,520,conservative,conservative,1
E14000648,27134,41386,4855,4352,315,labour,conservative,0
E14000649,27435,29758,4472,3721,1346,labour,labour,1
E14000650,28888,21269,4703,2661,5582,conservative,labour,0
E14000651,25181,42338,3200,3073,6,labour,labour,1
E14000652,32418,17468,8293,2932,6179,conservative,conservative,1
E14000653,40610,19200,6581,4211,185,conservative,conservative,1
E14000654,34647,23019,8681,5586,1130,conservative,labour,0
E14000655,39042,26611,16020,3877,366,conservative,labour,0
E14000656,39542,13980,12720,3285,3801,conservative,conservative,1
E14000657,30238,15958,7511,7695,837,conservative,labour,0
E14000658,31303,16259,4509,3526,450,conservative,conservative,1
E14000659,33004,16131,15668,3001,3461,conservative,conservative,1
E14000660,25482,30230,3707,4677,1975,labour,conservative,0
E14000661,31168,12455,4978,3269,671,conservative,labour,0
E14000662,21830,30453,4294,5107,959,labour,conservative,0
E14000663,22719,31704,4110,5246,851,labour,labour,1
E14000664,20373,22498,3699,6720,1235,labour,conservative,0
E14000665,23348,24332,6916,5655,2496,labour,conservative,0
E14000666,23609,26606,8493,4410,2120,labour,conservative,0
E14000667,23435,24213,7682,4164,2175,labour,conservative,0
E14000668,23124,25679,7820,4262,2111,labour,labour,1
E14000669,21776,22884,6895,3872,1996,labour,labour,1
E14000670,30230,15702,11499,3452,1958,conservative,conservative,1
E14000671,21130,22460,3258,3010,242,labour,conservative,0
E14000672,22099,21137,2173,2025,751,conservative,conservative,1
E14000673,29612,22517,9926,8192,812,conservative,labour,0
E14000674,34540,19429,25714,6598,224,conservative,labour,0
E14000675,36826,20285,12364,4139,1355,conservative,labour,0
E14000676,30388,16722,9862,3375,1095,conservative,labour,0
E14000677,27984,13948,3667,3064,352,conservative,labour,0
E14000678,27686,22098,6008,14535,1810,conservative,conservative,1
E14000679,39452,36911,12045,4274,66,conservative,labour,0
E14000680,30420,16487,13473,3626,1695,conservative,conservative,1
E14000681,32245,18370,14198,3927,1949,conservative,conservative,1
E14000682,29170,15639,11642,3403,1859,conservative,conservative,1
E14000683,26749,25086,8758,4530,2485,conservative,conservative,1
E14000684,32499,14364,19188,3220,1295,conservative,conservative,1
E14000685,31928,18845,13429,3917,2197,conservative,conservative,1
E14000686,39335,11726,4613,2764,2799,conservative,conservative,1
E14000687,30053,22169,6005,4175,184,conservative,labour,0
E14000688,34454,13740,4199,2735,1049,conservative,labour,0
E14000689,26392,24530,8583,3003,4109,conservative,conservative,1
E14000690,30061,13630,6637,3883,3210,conservative,labour,0
E14000691,30211,15975,9498,3301,1072,conservative,labour,0
E14000692,32981,14710,7841,2830,3632,conservative,labour,0
E14000693,28736,21787,7230,4267,417,conservative,conservative,1
E14000694,29646,16204,17697,5879,1064,conservative,conservative,1
E14000695,21962,26942,3637,4734,898,labour,conservative,0
E14000696,32962,18686,8975,2717,1629,conservative,labour,0
E14000697,30946,18029,15177,3681,2478,conservative,conservative,1
E14000698,22221,48671,3768,5040,0,labour,labour,1
E14000699,29643,15438,16576,2891,1081,conservative,conservative,1
E14000700,31107,16233,8061,2694,4366,conservative,conservative,1
E14000701,39851,22212,12701,4474,1558,conservative,labour,0
E14000702,23249,34698,3656,4402,551,labour,conservative,0
E14000703,36444,20739,13969,4205,1163,conservative,conservative,1
E14000704,34685,15307,14969,5926,2518,conservative,conservative,1
E14000705,23475,25902,3336,4130,1169,labour,conservative,0
E14000706,35659,12468,6125,3620,633,conservative,conservative,1
E14000707,25082,26518,4618,3914,2526,labour,conservative,0
E14000708,37002,13376,4978,4994,1492,conservative,labour,0
E14000709,31790,16749,3430,2480,1089,conservative,labour,0
E14000710,23081,23620,2552,5292,2878,labour,conservative,0
E14000711,28743,13850,9117,2528,4217,conservative,conservative,1
E14000712,28161,25366,6513,5254,6241,conservative,conservative,1
E14000713,28496,13847,7542,4443,3631,conservative,conservative,1
E14000714,29922,25364,3243,4398,5952,conservative,conservative,1
E14000715,27807,17750,11597,2935,1596,conservative,conservative,1
E14000716,19053,19468,4356,3793,2958,labour,conservative,0
E14000717,29907,18371,4023,5091,1241,conservative,conservative,1
E14000718,35930,25000,14871,4557,1450,conservative,labour,0
E14000719,29503,16485,21120,3053,1376,conservative,conservative,1
E14000720,33897,23832,13816,4278,1320,conservative,labour,0
E14000721,33456,24226,13942,4285,1296,conservative,labour,0
E14000722,23355,24525,3676,3329,294,labour,conservative,0
E14000723,20528,31496,5531,2962,384,labour,labour,1
E14000724,24265,20946,5679,2862,4850,conservative,conservative,1
E14000725,32838,20691,4061,2793,12,conservative,labour,0
E14000726,32502,20519,9550,8477,2722,conservative,labour,0
E14000727,36808,24141,15692,4552,1226,conservative,labour,0
E14000728,22799,30024,11126,4309,493,labour,conservative,0
E14000729,27343,23370,4885,3344,228,conservative,conservative,1
E14000730,29121,16076,10911,2946,8125,conservative,conservative,1
E14000731,35158,13679,9110,3171,4506,conservative,conservative,1
